id,user_id,day,eve,free,created_at,updated_at
1343,23,2015-05-21 00:00:00 UTC,true,true,2015-05-19 18:13:11 UTC,2015-05-19 18:13:11 UTC
1344,23,2015-05-21 00:00:00 UTC,false,true,2015-05-19 18:13:11 UTC,2015-05-19 18:13:11 UTC
1345,23,2015-05-20 00:00:00 UTC,true,true,2015-05-19 18:13:11 UTC,2015-05-19 18:13:11 UTC
1346,23,2015-05-20 00:00:00 UTC,false,true,2015-05-19 18:13:11 UTC,2015-05-19 18:13:11 UTC
1347,23,2015-05-19 00:00:00 UTC,true,true,2015-05-19 18:13:11 UTC,2015-05-19 18:13:11 UTC
1348,23,2015-05-19 00:00:00 UTC,false,true,2015-05-19 18:13:11 UTC,2015-05-19 18:13:11 UTC
1349,23,2015-05-18 00:00:00 UTC,true,true,2015-05-19 18:13:11 UTC,2015-05-19 18:13:11 UTC
1350,23,2015-05-18 00:00:00 UTC,false,true,2015-05-19 18:13:11 UTC,2015-05-19 18:13:11 UTC
1351,23,2015-05-18 00:00:00 UTC,false,true,2015-05-19 18:13:11 UTC,2015-05-19 18:13:11 UTC
1352,10,2015-05-24 00:00:00 UTC,true,false,2015-05-19 18:13:11 UTC,2015-05-19 19:26:10 UTC
1353,10,2015-05-24 00:00:00 UTC,false,false,2015-05-19 18:13:11 UTC,2015-05-19 19:27:09 UTC
1354,10,2015-05-23 00:00:00 UTC,true,false,2015-05-19 18:13:11 UTC,2015-05-19 19:27:09 UTC
1355,10,2015-05-23 00:00:00 UTC,false,false,2015-05-19 18:13:11 UTC,2015-05-19 19:27:40 UTC
1356,10,2015-05-22 00:00:00 UTC,true,false,2015-05-19 18:13:12 UTC,2015-05-19 19:27:40 UTC
1357,10,2015-05-22 00:00:00 UTC,false,true,2015-05-19 18:13:12 UTC,2015-05-19 18:13:12 UTC
1358,10,2015-05-21 00:00:00 UTC,true,false,2015-05-19 18:13:12 UTC,2015-05-19 19:27:41 UTC
1359,10,2015-05-21 00:00:00 UTC,false,true,2015-05-19 18:13:12 UTC,2015-05-19 18:13:12 UTC
1360,10,2015-05-20 00:00:00 UTC,true,false,2015-05-19 18:13:12 UTC,2015-05-19 19:27:41 UTC
1361,10,2015-05-20 00:00:00 UTC,false,false,2015-05-19 18:13:12 UTC,2015-05-19 19:27:41 UTC
1362,10,2015-05-19 00:00:00 UTC,true,false,2015-05-19 18:13:12 UTC,2015-05-19 19:27:41 UTC
1363,10,2015-05-19 00:00:00 UTC,false,true,2015-05-19 18:13:12 UTC,2015-05-19 18:13:12 UTC
1364,10,2015-05-18 00:00:00 UTC,true,true,2015-05-19 18:13:12 UTC,2015-05-19 18:13:12 UTC
1365,10,2015-05-18 00:00:00 UTC,false,true,2015-05-19 18:13:12 UTC,2015-05-19 18:13:12 UTC
1366,10,2015-05-18 00:00:00 UTC,false,true,2015-05-19 18:13:12 UTC,2015-05-19 18:13:12 UTC
1367,8,2015-05-24 00:00:00 UTC,true,true,2015-05-19 18:13:12 UTC,2015-05-19 18:13:12 UTC
1368,8,2015-05-24 00:00:00 UTC,false,true,2015-05-19 18:13:13 UTC,2015-05-19 18:13:13 UTC
1369,8,2015-05-23 00:00:00 UTC,true,true,2015-05-19 18:13:13 UTC,2015-05-19 18:13:13 UTC
1370,8,2015-05-23 00:00:00 UTC,false,true,2015-05-19 18:13:13 UTC,2015-05-19 18:13:13 UTC
1371,8,2015-05-22 00:00:00 UTC,true,true,2015-05-19 18:13:13 UTC,2015-05-19 18:13:13 UTC
1372,8,2015-05-22 00:00:00 UTC,false,true,2015-05-19 18:13:13 UTC,2015-05-19 18:13:13 UTC
